No.,Nama Data,Nilai
7,ACEH,3.165.030
22,BALI,2.493.525
4,KEP. BANGKA BELITUNG,3.230.022
32,BANTEN,1.810.351
28,BENGKULU,2.213.604
34,DI YOGYAKARTA,1.765.608
1,DKI JAKARTA,4.416.187
18,GORONTALO,2.586.900
16,JAMBI,2.630.161
24,JAWA BARAT,2.460.968
33,JAWA TENGAH,1.798.979
31,JAWA TIMUR,1.868.777
26,KALIMANTAN BARAT,2.399.698
14,KALIMANTAN SELATAN,2.877.447
12,KALIMANTAN TENGAH,2.890.093
11,KALIMANTAN TIMUR,2.981.378
10,KALIMANTAN UTARA,3.000.803
9,KEP. RIAU,3.005.383
25,LAMPUNG,2.431.324
17,MALUKU,2.604.960
15,MALUKU UTARA,2.721.530
29,NUSA TENGGARA BARAT,2.183.883
30,NUSA TENGGARA TIMUR,1.945.902
2,PAPUA,3.516.700
5,PAPUA BARAT,3.184.225
13,RIAU,2.888.563
19,SULAWESI BARAT,2.571.328
6,SULAWESI SELATAN,3.165.876
27,SULAWESI TENGAH,2.303.710
20,SULAWESI TENGGARA,2.552.014
3,SULAWESI UTARA,3.310.722
23,SUMATERA BARAT,2.484.041
8,SUMATERA SELATAN,3.043.111
21,SUMATERA UTARA,2.499.422
,,
